branche;items;mean_words;median_words;min_words;p25_words;p75_words;max_words;mean_characters
Arztpraxis;21;14.1;11.0;6;9.0;21.0;28;88.3
Beschaffung / E-Commerce;24;15.6;14.0;6;8.0;22.5;31;111.9
Fahrradhandel;51;13.5;13.0;5;8.0;15.5;30;87.1
Handwerk / Schreinerei;21;14.7;12.0;4;9.0;19.0;28;96.5
Handwerk / Töpferei;63;16.0;14.0;6;9.0;23.0;30;102.8
Immobilien;21;16.0;15.0;5;9.0;20.0;32;98.5
PR / Kommunikation;21;14.0;14.0;5;7.0;21.0;31;98.6
Schornsteinfegerbetrieb;21;13.1;13.0;5;7.0;14.0;33;91.2
Smart Metering;57;13.0;12.0;5;8.0;16.0;31;90.2
