skill;items;mean_words;median_words;min_words;p25_words;p75_words;max_words;mean_characters
calendar;70;15.9;14.0;5;9.0;24.0;28;99.4
forwarding;40;15.4;14.5;5;8.8;21.0;29;104.5
knowledge-base;90;14.3;13.0;5;7.0;19.0;32;101.1
none;100;13.0;12.0;4;8.0;15.0;33;84.5
