phrase;word_count;items_total;calendar_count;calendar_pct;forwarding_count;forwarding_pct;knowledge-base_count;knowledge-base_pct;none_count;none_pct;matching_ids
welche freien termine;3;4;4;5.7;0;0.0;0;0.0;0;0.0;SP-007, ZE-015, IM-006, ME-015
zu den stadtwerken;3;4;0;0.0;4;10.0;0;0.0;0;0.0;HH-024, HH-030, HH-035, HH-039
bei mir;2;4;1;1.4;1;2.5;1;1.1;1;1.0;HH-005, HH-046, ZE-010, SC-002
bei uns;2;4;0;0.0;0;0.0;1;1.1;3;3.0;AM-007, EC-009, IM-018, CH-004
bevor ich;2;4;0;0.0;0;0.0;3;3.3;1;1.0;SP-023, PD-007, CH-005, PI-013
bitte verbinden;2;4;0;0.0;4;10.0;0;0.0;0;0.0;SP-059, HH-037, HH-044, HH-057
das mit;2;4;0;0.0;0;0.0;0;0.0;4;4.0;HH-009, HH-038, ZE-027, IM-004
doch nicht;2;4;0;0.0;0;0.0;1;1.1;3;3.0;SP-038, HH-056, PD-012, SC-004
einen moment;2;4;0;0.0;0;0.0;0;0.0;4;4.0;SP-022, ZE-036, CH-018, PI-013
für den;2;4;1;1.4;2;5.0;1;1.1;0;0.0;SP-017, SP-062, EC-007, HH-052
ich die;2;4;0;0.0;1;2.5;1;1.1;2;2.0;HH-026, HH-027, PD-006, PI-004
ich mir;2;4;1;1.4;0;0.0;1;1.1;2;2.0;SP-030, HH-018, ZE-031, IM-006
ich muss;2;4;1;1.4;0;0.0;0;0.0;3;3.0;AM-004, PD-002, IM-011, ME-014
ich noch;2;4;0;0.0;0;0.0;0;0.0;4;4.0;ZE-002, ZE-018, IM-002, ME-002
ihrem kundenservice;2;4;0;0.0;4;10.0;0;0.0;0;0.0;HH-052, HH-053, HH-055, HH-057
ist alles;2;4;0;0.0;0;0.0;0;0.0;4;4.0;SP-047, SP-054, SP-056, PI-009
komme ich;2;4;2;2.9;0;0.0;0;0.0;2;2.0;IM-012, SC-009, ME-004, ME-016
mich bitte;2;4;0;0.0;4;10.0;0;0.0;0;0.0;HH-025, HH-034, HH-053, HH-057
mit meiner;2;4;0;0.0;0;0.0;0;0.0;4;4.0;SP-018, ZE-004, IM-018, CH-009
nichts vereinbaren;2;4;0;0.0;0;0.0;0;0.0;4;4.0;ZE-002, ZE-004, IM-013, ME-020
noch keinen;2;4;2;2.9;0;0.0;1;1.1;1;1.0;SP-010, ZE-011, ZE-023, ME-012
noch nichts;2;4;2;2.9;0;0.0;0;0.0;2;2.0;ZE-002, ZE-014, ZE-017, ME-020
stadtwerken verbinden;2;4;0;0.0;4;10.0;0;0.0;0;0.0;HH-024, HH-035, HH-041, HH-043
termin für;2;4;4;5.7;0;0.0;0;0.0;0;0.0;ZE-006, ZE-007, ZE-010, IM-003
und möchte;2;4;1;1.4;0;0.0;1;1.1;2;2.0;EC-004, ME-012, PI-011, PI-014
verbinden sie;2;4;0;0.0;4;10.0;0;0.0;0;0.0;SP-059, HH-025, HH-034, HH-037
welche freien;2;4;4;5.7;0;0.0;0;0.0;0;0.0;SP-007, ZE-015, IM-006, ME-015
wie lange;2;4;0;0.0;0;0.0;3;3.3;1;1.0;PD-007, CH-010, CH-011, CH-012
wir dafür;2;4;4;5.7;0;0.0;0;0.0;0;0.0;SP-003, IM-017, SC-007, ME-003
bitte nach einem freien termin;5;3;3;4.3;0;0.0;0;0.0;0;0.0;ZE-005, IM-005, ME-005
sie bitte nach einem freien;5;3;3;4.3;0;0.0;0;0.0;0;0.0;ZE-005, IM-005, ME-005
besprechen können wir dafür;4;3;3;4.3;0;0.0;0;0.0;0;0.0;SP-003, IM-017, ME-003
bitte nach einem freien;4;3;3;4.3;0;0.0;0;0.0;0;0.0;ZE-005, IM-005, ME-005
ein termin frei ist;4;3;3;4.3;0;0.0;0;0.0;0;0.0;ZE-021, IM-010, SC-006
können wir dafür einen;4;3;3;4.3;0;0.0;0;0.0;0;0.0;SP-003, SC-007, ME-003
können wir einen termin;4;3;3;4.3;0;0.0;0;0.0;0;0.0;ZE-001, IM-003, SC-003
sie bitte nach einem;4;3;3;4.3;0;0.0;0;0.0;0;0.0;ZE-005, IM-005, ME-005
amazon business dafür;3;3;0;0.0;0;0.0;3;3.3;0;0.0;AM-001, AM-003, AM-012
besprechen können wir;3;3;3;4.3;0;0.0;0;0.0;0;0.0;SP-003, IM-017, ME-003
bevor ich mich;3;3;0;0.0;0;0.0;3;3.3;0;0.0;SP-023, PD-007, CH-005
bitte nach einem;3;3;3;4.3;0;0.0;0;0.0;0;0.0;ZE-005, IM-005, ME-005
brauche ich nicht;3;3;0;0.0;0;0.0;0;0.0;3;3.0;SP-027, SP-029, PI-004
dafür einen termin;3;3;3;4.3;0;0.0;0;0.0;0;0.0;SP-003, SP-010, ME-003
den stadtwerken durchstellen;3;3;0;0.0;3;7.5;0;0.0;0;0.0;HH-028, HH-030, HH-039
einen gemeinsamen termin;3;3;3;4.3;0;0.0;0;0.0;0;0.0;ZE-007, ZE-008, IM-021
gibt es für;3;3;1;1.4;0;0.0;2;2.2;0;0.0;EC-006, EC-007, SC-010
habe ich gefunden;3;3;0;0.0;0;0.0;0;0.0;3;3.0;PD-002, ZE-029, CH-018
habe ich mich;3;3;2;2.9;0;0.0;0;0.0;1;1.0;SP-017, IM-009, SC-021
hat sich erledigt;3;3;0;0.0;0;0.0;0;0.0;3;3.0;SP-040, HH-022, HH-054
mit ihrem kundenservice;3;3;0;0.0;3;7.5;0;0.0;0;0.0;HH-052, HH-053, HH-055
montag oder donnerstag;3;3;2;2.9;0;0.0;0;0.0;1;1.0;ZE-019, ZE-020, ZE-021
noch keinen termin;3;3;1;1.4;0;0.0;1;1.1;1;1.0;ZE-011, ZE-023, ME-012
nächste woche etwas;3;3;3;4.3;0;0.0;0;0.0;0;0.0;ZE-014, SC-005, SC-006
sie bitte nach;3;3;3;4.3;0;0.0;0;0.0;0;0.0;ZE-005, IM-005, ME-005
sie nach einem;3;3;3;4.3;0;0.0;0;0.0;0;0.0;SC-017, ME-014, ME-016
termin frei ist;3;3;3;4.3;0;0.0;0;0.0;0;0.0;ZE-021, IM-010, SC-006
und würde gern;3;3;3;4.3;0;0.0;0;0.0;0;0.0;SP-005, SC-021, ME-007
wir dafür einen;3;3;3;4.3;0;0.0;0;0.0;0;0.0;SP-003, SC-007, ME-003
zur tüv prüfung;3;3;0;0.0;0;0.0;2;2.2;1;1.0;ZE-034, ZE-035, ZE-036
aber noch;2;3;1;1.4;0;0.0;0;0.0;2;2.0;SP-010, SP-018, SC-009
alles geklärt;2;3;0;0.0;0;0.0;0;0.0;3;3.0;SP-047, SP-049, PI-009
am vormittag;2;3;3;4.3;0;0.0;0;0.0;0;0.0;SC-010, SC-012, ME-014
bei der;2;3;1;1.4;0;0.0;2;2.2;0;0.0;SP-012, SP-034, PD-005
bekomme ich;2;3;0;0.0;0;0.0;3;3.3;0;0.0;HH-012, CH-017, PI-014
besprechen können;2;3;3;4.3;0;0.0;0;0.0;0;0.0;SP-003, IM-017, ME-003
big wave;2;3;0;0.0;0;0.0;2;2.2;1;1.0;SP-037, SP-038, SP-039
bitte nach;2;3;3;4.3;0;0.0;0;0.0;0;0.0;ZE-005, IM-005, ME-005
